,DaysSinceLastStay,TotalRevenue,Tenure
0,144,925.0,0
1,192,252.4,0
2,966,333.0,0
3,121,466.5,0
4,976,250.5,0
5,260,619.0,0
6,379,243.0,0
7,843,2011.4,5
8,39,157.9,0
9,206,302.0,0
10,97,490.0,0
11,234,671.2,0
12,795,507.0,0
13,677,398.4,0
14,713,330.0,0
15,693,218.2,0
16,206,305.0,0
17,586,635.5,0
18,220,325.0,0
19,862,945.0,0
20,460,106.7,0
21,130,583.2,0
22,224,524.0,0
23,483,1134.0,0
24,341,172.0,0
25,190,320.0,0
26,853,124.0,0
27,1015,400.5,0
28,85,139.5,0
29,642,228.0,0
30,467,483.0,0
31,860,759.0,0
32,779,406.5,0
33,521,1453.5,0
34,882,937.5,0
35,855,371.8,0
36,740,356.0,0
37,540,653.3,0
38,274,296.2,0
39,83,648.0,0
40,834,282.7,0
41,584,527.4,0
42,436,452.5,0
43,293,149.0,0
44,799,234.0,0
45,674,81.0,0
46,307,395.52000000000004,0
47,977,68.15,0
48,73,161.0,0
49,836,529.5,0
51,282,996.48,0
52,635,151.0,0
53,946,436.0,0
54,606,362.0,0
55,842,863.6,0
56,220,150.0,0
57,808,257.0,0
58,862,349.0,0
59,616,390.0,0
60,706,228.0,0
61,392,446.6,0
62,565,161.0,0
63,1017,675.0,0
64,483,192.0,0
65,758,172.0,0
67,34,172.0,0
68,195,174.1,0
69,35,723.0,0
70,547,1829.5,0
71,1016,398.5,0
72,822,230.67999999999998,0
73,875,550.4,0
74,241,276.08000000000004,0
75,443,369.0,0
76,341,182.0,0
77,648,145.2,0
78,129,412.5,0
79,334,98.2,0
80,869,391.0,0
81,114,467.1,0
82,234,203.12,0
83,444,190.98,0
84,892,163.0,0
85,571,368.0,0
86,125,625.0,0
87,745,86.2,0
88,730,142.0,0
89,536,248.8,0
90,653,397.5,0
91,329,180.0,0
92,911,854.25,0
93,668,391.0,0
94,844,487.4,0
95,779,81.2,0
96,638,1428.0,0
97,261,478.0,0
98,337,194.0,0
99,631,197.5,0
100,43,84.0,0
101,322,676.5,0
102,90,153.24,0
103,640,195.2,0
104,230,274.0,0
105,623,192.0,0
106,457,576.9,0
107,561,726.3,0
108,119,536.0,0
109,931,835.7,0
110,534,198.2,0
111,497,274.0,0
112,171,376.0,0
113,991,321.9,0
114,348,122.0,0
115,477,426.0,0
116,928,489.4,0
117,287,206.2,32
118,581,459.0,0
119,199,790.5,2
120,542,348.0,0
121,377,315.1,0
122,426,234.5,0
123,429,688.0,0
124,974,126.0,0
125,313,488.6,0
126,263,212.0,433
127,361,320.23,0
128,365,504.0,0
129,365,224.63,0
130,940,234.5,0
131,993,424.8,0
132,558,1699.5,0
133,465,94.0,0
134,657,1258.6,4
135,202,1094.489999999998,0
136,146,607.8,0
137,401,295.5,2
138,546,151.0,0
139,533,548.6,0
140,903,459.0,0
141,97,249.54,0
142,600,286.21000000000004,0
143,865,234.0,0
144,173,698.0,0
145,463,216.0,0
146,183,1367.4,0
147,198,603.0,0
148,1023,389.6,0
149,17,662.8,0
150,289,455.47,0
151,441,774.5,0
152,395,196.4,0
153,863,1182.489999999998,0
154,330,791.5,116
155,1100,344.5,0
156,477,247.5,0
158,41,196.0,0
159,971,483.0,0
160,753,390.0,0
161,59,392.0,0
162,247,439.7,0
163,80,362.0,0
164,967,234.0,0
165,305,455.2,0
166,402,74.0,0
167,979,121.0,0
168,813,495.36,0
169,125,135.55,0
170,367,177.0,0
171,199,364.0,0
172,649,123.0,0
173,61,494.15,0
174,946,347.5,0
175,504,486.0,0
176,477,725.0,0
177,52,432.0,0
178,810,448.1,0
179,609,773.5,0
180,970,448.8,0
181,849,196.0,0
182,325,938.7,0
183,601,366.0,0
184,305,344.6,0
185,590,742.5,0
186,557,596.3,376
187,691,375.2,0
188,421,175.36,0
189,680,276.0,0
190,391,262.0,0
191,729,96.3,0
192,592,1180.3,0
193,1080,121.5,0
194,430,470.0,0
195,915,403.1,0
196,525,131.0,0
197,497,707.0,0
198,551,251.0,0
199,1022,356.3,0
200,674,76.0,0
201,872,370.0,0
202,229,435.04,0
203,150,2490.359999999992,4
204,999,338.4,0
205,152,166.0,0
206,910,297.0,0
207,421,1140.3,0
208,579,406.84,0
209,920,237.0,0
210,831,328.5,0
211,697,272.5,0
212,817,137.5,0
213,540,307.7,0
214,453,134.0,0
215,823,297.77,0
216,800,289.76,0
217,490,425.25,0
218,30,101.1,0
219,215,456.0,0
220,658,440.2,0
221,661,246.0,0
222,759,174.0,0
223,959,551.4,0
224,268,515.1600000000001,0
225,186,742.0,703
226,951,130.0,0
227,210,368.04,0
228,438,1081.0,0
229,272,96.0,0
230,564,588.0,0
231,591,597.0,0
232,516,1043.2,0
233,318,578.4,0
234,641,553.5,0
235,626,292.0,0
236,844,358.97,0
237,950,120.0,0
238,714,498.0,0
239,50,111.0,0
240,101,804.0,0
241,945,236.2,0
242,832,99.5,0
243,568,209.68,0
244,224,115.76,0
245,953,1303.4,0
246,542,366.9,0
247,871,687.0,0
248,404,464.14,0
249,729,428.4,0
250,713,152.0,0
251,112,334.0,0
252,88,384.82000000000005,0
253,980,252.5,0
254,197,1727.05,584
255,869,562.1,0
256,120,121.0,0
257,976,256.0,0
258,637,303.5,0
259,733,181.5,0
260,853,341.5,0
262,255,2382.0,0
263,506,654.0,0
264,991,402.6,0
265,697,81.0,0
266,1031,271.0,0
267,209,111.0,0
268,108,639.5,0
269,705,218.0,0
270,429,348.4,0
271,797,605.0,0
272,545,272.3,0
273,786,187.0,0
274,712,63.31,0
275,305,246.3,0
276,341,172.0,0
277,237,631.0,0
278,485,357.0,0
279,634,524.25,0
280,505,531.0,0
281,883,1265.15,0
282,766,452.0,0
283,502,537.5,0
284,49,455.0,0
285,528,119.5,0
286,714,598.49,0
287,938,234.0,0
288,1059,398.0,0
289,183,558.4,0
290,199,659.0,0
291,177,405.86,0
292,1038,489.5,0
293,519,866.79,0
294,417,508.0,0
295,742,542.4,0
296,436,369.0,0
297,852,136.63,0
298,938,333.0,0
299,452,1295.0,0
300,634,323.0,0
301,228,447.0,0
302,827,384.98,0
303,740,633.0,0
304,723,1762.6,0
305,288,455.5,0
306,604,276.0,0
307,943,91.1,0
308,594,445.5,0
309,47,131.0,0
310,920,142.0,0
311,107,658.0,0
312,262,489.5,0
313,203,604.0,0
314,570,677.25,0
315,839,440.0,0
316,619,190.0,0
317,132,468.5,0
318,121,261.0,0
319,249,788.25,0
321,486,216.9,0
322,297,1170.2,107
323,924,563.5,0
324,37,171.0,0
325,983,422.1,0
326,749,431.0,0
327,958,464.0,0
328,795,346.5,0
329,946,113.0,0
330,287,571.22,747
331,318,430.0,0
332,220,2052.0,0
333,446,310.4,1
334,95,558.0,0
335,949,1651.989999999998,148
336,654,237.52,0
337,514,212.0,0
338,36,568.5799999999999,0
339,231,1108.6,0
340,527,216.5,0
341,752,202.4,0
342,64,1808.0,587
343,312,1183.0,0
344,460,229.2,0
345,466,301.0,0
346,990,189.99,0
347,589,264.0,0
348,356,91.0,0
349,955,67.0,0
350,615,404.0,0
351,367,858.5,0
352,372,663.0,0
353,202,393.0,0
354,534,128.0,0
355,1058,164.64,0
356,202,393.0,0
358,215,446.5,0
359,134,543.0,0
360,1020,188.7,0
361,635,344.0,0
362,149,264.0,0
363,524,387.0,0
364,832,99.5,0
365,439,91.1,0
366,269,216.4,0
367,60,303.0,0
368,301,75.0,0
369,941,267.0,0
370,940,318.75,0
371,443,1187.0,0
372,780,90.0,0
373,1058,1142.489999999998,0
374,644,515.19,0
375,317,1099.2,0
376,893,242.0,0
377,988,91.0,0
378,1007,351.4,0
379,936,240.0,0
380,183,175.36,0
381,808,274.5,0
382,289,616.0,0
383,309,591.0,132
384,775,256.8,0
385,442,280.0,0
386,792,475.8,0
387,706,346.2,0
388,18,187.52,0
389,68,573.0,2
390,824,448.8,0
391,595,231.0,0
392,143,584.7,0
393,954,284.8,0
394,675,517.7,0
395,164,465.0,0
396,190,746.5,0
397,734,995.7,0
398,1004,740.1,0
399,326,253.5,0
400,356,523.94,0
401,354,130.0,0
402,81,997.2,358
403,1016,400.25,0
404,632,431.9,0
405,577,986.489999999998,0
406,326,1715.75,0
407,112,467.0,0
408,60,2071.0,1
409,990,128.8,0
410,587,820.0,0
411,61,462.44,0
412,585,573.3,0
413,240,188.32,0
414,142,227.0,0
415,995,651.0,0
417,85,411.0,0
418,539,503.0,0
419,485,175.18,0
420,604,328.0,0
421,738,414.48,0
422,449,339.5,0
423,165,289.5,0
424,410,263.6,0
425,175,550.5,0
426,66,479.5,0
427,829,282.26,0
428,773,288.6,0
429,429,394.0,0
430,236,223.0,0
431,165,345.0,0
432,240,400.0,0
433,708,96.0,0
434,867,1039.0,0
435,782,2174.12,0
436,24,187.0,1044
437,534,1885.3,0
438,145,359.0,0
439,88,758.0,0
440,605,162.0,0
441,236,682.8,0
442,929,182.0,0
443,131,359.0,0
444,306,427.5,728
445,207,161.0,0
446,865,104.4,0
447,619,644.5,0
448,381,300.0,0
449,503,620.0,0
450,588,564.5,0
451,598,633.6,0
452,441,590.5,0
453,742,79.2,0
454,40,490.0,0
455,970,429.25,0
456,248,503.0,0
457,799,234.0,0
458,547,362.8,0
459,66,303.5,0
460,836,331.0,0
461,255,352.0,0
462,148,453.0,0
463,7,171.0,0
464,282,343.76,0
465,429,896.0,0
466,941,578.6,0
467,550,676.5,0
468,438,895.0,0
469,590,492.0,0
470,891,322.0,0
471,189,279.4,0
472,654,251.5,0
473,186,654.0,0
474,179,359.0,0
475,797,253.5,0
476,888,1449.6,0
477,815,552.0,0
478,858,346.0,0
479,764,247.0,0
480,635,210.0,0
481,940,278.8,0
482,736,551.8,0
483,440,212.5,0
485,644,811.8,0
486,534,463.5,0
487,796,310.5,0
488,469,555.4,0
489,1003,480.5,0
490,690,222.5,0
491,60,324.5,0
492,76,105.2,0
493,1042,254.41,0
494,419,307.8,0
495,1042,174.0,0
496,310,577.6,0
497,304,336.3,0
498,775,466.5,0
499,952,294.5,0
500,293,546.5,0
501,292,388.0,0
502,844,285.35,0
503,257,242.0,0
504,972,214.6,0
505,660,62.98,0
506,431,262.0,0
507,21,535.0,82
508,173,2050.5,0
509,321,120.0,0
510,982,241.6,0
511,23,424.52,0
512,141,522.0,0
513,369,414.9,0
514,250,840.0,0
515,929,234.0,0
516,143,610.5,0
517,520,1026.0,0
518,699,76.0,0
519,353,281.73,0
520,257,242.0,0
521,586,726.5,0
522,209,533.8,0
523,651,469.2,0
524,820,309.56,0
525,255,433.0,0
526,589,2490.359999999992,0
527,871,56.0,0
528,281,620.6,0
529,480,318.0,0
530,524,340.0,0
531,618,402.70000000000005,0
532,631,604.0,0
533,578,615.3,0
534,781,1060.5,0
535,808,249.5,0
536,996,144.0,0
537,40,551.6,0
538,285,996.0,0
539,477,154.0,0
540,240,462.0,0
541,823,475.1,0
542,531,273.3,0
543,211,349.44,0
544,108,453.0,0
545,4,71.0,0
546,338,361.6,0
547,416,418.75,0
548,708,198.0,0
549,237,232.0,0
550,764,359.0,0
551,1020,246.0,0
552,425,262.5,0
553,485,584.0,0
554,839,35.0,0
555,254,579.5,0
556,816,134.0,0
557,716,275.99,0
558,598,369.0,0
560,751,215.0,0
561,268,582.9,0
562,858,346.0,0
563,252,731.0,0
564,938,506.0,0
565,920,196.0,0
566,222,342.0,0
567,450,326.5,0
568,821,799.05,0
569,169,281.98,0
570,497,677.0,0
571,1016,259.5,0
572,339,184.0,0
573,172,323.0,0
574,273,1383.2,0
575,668,164.62,0
576,748,992.2,0
577,458,683.5,0
578,192,742.5,3
579,649,121.5,0
580,999,1332.9,0
581,781,631.7,0
582,808,234.0,0
583,288,302.0,0
584,621,897.0,0
585,858,214.25,0
586,971,508.0,0
587,877,116.3,0
588,606,351.0,0
589,477,866.0,1
590,680,1044.0,0
591,406,220.0,0
592,1019,99.98,0
